src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,dst_ip_entropy,new_flows_per_sec,num_distinct_src_ips,num_distinct_dst_ips,label
0,0,1,0.5,49.0,98.0,73.269,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,73.267,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,73.267,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,75.272,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,75.272,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,75.27,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,75.27,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,77.282,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,77.282,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,77.28,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,77.28,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,79.303,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,79.301,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,81.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,81.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,81.306,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,81.306,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,83.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,83.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,83.306,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,83.306,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,85.31,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,85.31,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,85.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,85.308,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,87.312,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,87.312,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,87.311,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,87.311,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,89.315,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,89.315,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,89.313,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,89.313,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,91.317,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,91.317,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,91.315,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,91.315,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,1.696,2.25,2.5,2.25,4.0,5,5,normal
0,0,1,0.5,49.0,98.0,1.685,2.25,2.5,2.25,4.0,5,5,normal
0,8000,6,8.5,604.0,71.05882352941177,1.661,2.25,2.5,2.25,4.0,5,5,normal
0,41262,6,8.5,26255.0,3088.823529411765,1.6320000000000001,2.25,2.5,2.25,4.0,5,5,normal
0,8001,6,30.0,2028.0,67.6,1.624,2.25,2.5,2.25,4.0,5,5,normal
0,38090,6,36.5,207722.5,5691.027397260274,1.548,2.25,2.5,2.25,4.0,5,5,normal
0,8000,6,16.0,1110.0,69.375,1.5150000000000001,2.25,2.5,2.25,4.0,5,5,normal
0,59926,6,22.0,104195.0,4736.136363636364,1.4889999999999999,2.25,2.5,2.25,4.0,5,5,normal
0,0,1,1.0,98.0,98.0,3.7039999999999997,2.25,2.5,2.25,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,3.693,2.25,2.5,2.25,0.0,5,5,normal
0,8001,6,0.5,33.0,67.57377049180327,3.632,2.25,2.5,2.25,0.0,5,5,normal
0,38090,6,0.5,33.0,5615.013513513513,3.556,2.25,2.5,2.25,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,5.705,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,5.694,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,8000,6,6.0,443.0,72.20689655172414,5.67,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,8001,6,18.0,1246.0,68.18556701030928,5.633,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,8000,6,10.5,739.0,69.77358490566037,5.524,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,41268,6,5.0,26024.0,5204.8,1.738,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,59930,6,10.0,103155.0,10315.5,1.728,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,38098,6,20.0,207297.5,10364.875,1.722,2.186704345910025,3.0957952550009344,2.2312702546075758,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,7.709,2.186704345910025,3.0957952550009344,2.2312702546075758,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,7.698,2.186704345910025,3.0957952550009344,2.2312702546075758,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,9.712,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,9.701,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,8000,6,7.0,509.0,72.37209302325581,9.677,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,8001,6,16.0,1102.0,68.35658914728683,9.64,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,8000,6,11.5,805.0,69.84210526315789,9.531,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,36642,6,6.0,26090.0,4348.333333333333,1.7349999999999999,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,60238,6,11.0,103221.0,9383.727272727272,1.729,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,56048,6,15.5,205920.5,13285.193548387097,1.72,2.074164743022575,3.521640636343319,2.1820058147602133,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,11.725999999999999,2.074164743022575,3.521640636343319,2.1820058147602133,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,11.715,2.074164743022575,3.521640636343319,2.1820058147602133,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,13.725,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,13.714,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,8000,6,5.5,410.0,72.81481481481481,13.69,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,8001,6,14.0,994.0,68.828025477707,13.653,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,8000,6,10.0,730.0,70.5,13.544,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,36650,6,5.0,26024.0,5204.8,1.69,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,60252,6,15.5,105146.0,6783.612903225807,1.677,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,56052,6,20.5,208042.5,10148.414634146342,1.662,1.9698157824268099,3.8521687236032816,2.133387491316597,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,15.728,1.9698157824268099,3.8521687236032816,2.133387491316597,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,15.717,1.9698157824268099,3.8521687236032816,2.133387491316597,0.0,5,5,normal
0,0,1,1.0,98.0,98.0,17.763,1.8804820237218407,4.1219280948873624,2.090468570732828,1.5,5,5,normal
0,0,1,1.0,98.0,98.0,17.752,1.8804820237218407,4.1219280948873624,2.090468570732828,1.5,5,5,normal
